label,boot_s,wall_s,prompt_n,prefill,decode,decode_n,draft_n,accepted
base-control,106.7,60.6,33494,613.16,34.41,200,,
ncmoe36,67.1,116.4,33494,302.06,37.48,200,,
ncmoe34,65.5,152.4,33494,227.86,38.67,200,,
ub2048-ncmoe30,42.9,61.7,33494,595.37,37.18,200,,
ub2048-ncmoe24,44.8,113.0,33494,309.94,40.62,200,,
ub1024-ncmoe24,38.7,58.7,33494,616.34,46.5,200,,
ub1024-ncmoe16,40.9,,,,,,,
ub1024-ncmoe22,40.8,286.1,33494,119.59,33.23,200,,
best-ngram-simple,38.9,172.0,33494,199.87,45.94,200,,
ngram-nmin4,38.8,173.2,33494,198.7,43.16,200,16,0
ngram-mapk,38.8,162.9,33494,211.28,46.51,200,24,23
mapk-n4,38.8,171.5,33494,206.73,21.06,200,378,29
mapk-n6-h2,38.8,163.5,33494,210.89,43.04,200,48,26
v-control-1,65.0,69.8,33494,523.55,35.23,200,,
v-best-1,38.8,170.3,33494,201.76,46.77,200,,
v-control-2,65.1,66.5,33494,554.86,33.75,200,,
v-best-2,38.8,166.4,33494,206.72,46.16,200,,
v-control-3,71.2,65.2,33494,564.72,35.22,200,,
v-best-3,38.9,158.7,33494,216.95,46.83,200,,
fa-on,38.8,166.6,33494,206.4,46.86,200,,
lookup-dyn,,,,,,,,
b-control-1,67.1,66.8,33494,548.9,36.11,200,,
b-bal-1,42.8,57.0,33494,642.63,42.17,200,,
b-control-2,71.2,67.4,33494,543.62,35.99,200,,
b-bal-2,45.0,46.6,33494,802.34,42.76,200,,
b-control-3,65.1,69.4,33494,527.42,35.13,200,,
b-bal-3,42.9,50.4,33494,737.99,40.34,200,,
opt-ncmoe28,40.8,97.5,33494,360.97,43.5,200,,
opt-ncmoe26,42.8,204.0,33494,167.88,45.46,200,,
opt-ncmoe30-ub1536,44.9,55.5,33494,664.42,40.37,200,,
opt-ncmoe32,50.8,59.6,33494,617.57,38.58,200,,
opt-ncmoe30-ub3072,53.0,98.8,33494,360.24,35.59,200,,
