task,prompt_ms,prompt_tokens,prompt_tps,eval_ms,eval_tokens,eval_ms_per_token,eval_tps,total_ms,total_tokens
0,21350.22,8579,401.82,118856.98,3943,30.15,33.17,140207.21,12522
3948,4478.27,4007,894.76,20009.97,664,30.18,33.13,24488.24,4671
4614,719.14,66,91.78,15200.60,510,29.86,33.49,15919.74,576
5126,647.36,66,101.95,19578.15,652,30.07,33.25,20225.51,718
5780,622.55,66,106.02,6954.67,232,30.11,33.22,7577.22,298
6014,550.19,47,85.43,9590.74,320,30.07,33.26,10140.93,367
6336,532.43,31,58.22,14435.57,485,29.83,33.53,14968.00,516
6823,971.58,161,165.71,112419.27,3611,31.14,32.11,113390.85,3772
10436,4278.78,3697,864.03,6182.79,207,30.01,33.32,10461.58,3904
10645,584.74,57,97.48,296376.83,9201,32.21,31.04,296961.57,9258
19848,10954.22,9252,844.61,12741.58,377,33.89,29.51,23695.80,9629
20229,571.45,45,78.75,5270.70,166,31.94,31.31,5842.15,211
20397,534.79,45,84.14,3532.01,108,33.01,30.29,4066.80,153
20507,515.51,26,50.44,255960.02,7524,34.02,29.39,256475.53,7550
28033,556.59,49,88.04,234089.77,7004,33.43,29.92,234646.36,7053
35039,533.76,49,91.80,1803.26,53,34.68,28.84,2337.02,102
35094,2152.72,659,306.12,2798.41,83,34.13,29.30,4951.12,742
35179,26717.55,11789,441.25,249626.33,6863,36.38,27.49,276343.88,18652
42046,742.37,90,121.23,3380.45,98,34.85,28.69,4122.82,188
42146,747.54,94,125.75,8962.43,251,35.85,27.89,9709.97,345
42399,1332.77,369,276.87,14496.93,413,35.19,28.42,15829.70,782
42814,551.60,45,81.58,200060.16,5602,35.72,28.00,200611.76,5647
48418,7831.69,5654,721.94,30440.26,839,36.32,27.53,38271.95,6493
49260,556.18,46,82.71,527744.47,14394,36.67,27.27,528300.66,14440
63656,19406.48,14446,744.39,764114.94,20082,38.05,26.28,783521.42,34528
83743,17047.36,12046,706.62,54221.96,1376,39.43,25.36,71269.33,13422
85124,2294.18,461,200.94,30441.34,769,39.64,25.23,32735.52,1230
85896,1020.86,129,126.36,68254.29,1690,40.41,24.75,69275.15,1819
87588,827.15,116,140.24,92194.80,2350,39.25,25.48,93021.95,2466
89940,3994.99,2399,600.50,16573.96,411,40.42,24.74,20568.96,2810
90353,560.86,44,78.45,13357.43,334,40.11,24.93,13918.29,378
90689,599.57,49,81.73,5133.14,134,38.60,25.91,5732.71,183
90825,2344.32,844,360.02,12225.41,316,38.81,25.77,14569.72,1160
91143,550.61,45,81.73,17716.86,453,39.20,25.51,18267.47,498
91598,592.29,45,75.98,8193.90,216,38.11,26.24,8786.19,261
91816,1091.38,200,183.25,46305.15,1169,39.64,25.22,47396.53,1369
92987,803.17,94,117.04,3298.78,85,39.27,25.46,4101.95,179
93074,713.49,94,131.75,69776.38,1710,40.83,24.49,70489.88,1804
94786,575.34,50,86.90,4896.94,127,38.86,25.73,5472.28,177
94915,3503.07,1708,487.57,37268.24,961,38.82,25.76,40771.31,2669
95878,558.82,46,82.32,46794.91,1129,41.48,24.11,47353.73,1175
97009,610.73,50,81.87,6383.38,156,41.18,24.28,6994.10,206
97167,774.71,75,96.81,28027.80,685,40.98,24.40,28802.50,760
97854,1346.84,177,131.42,62919.23,1378,45.69,21.89,64266.07,1555
99235,649.89,44,67.70,5530.40,121,46.09,21.70,6180.29,165
99358,1462.35,325,222.24,81127.68,1754,46.28,21.61,82590.03,2079
101114,1543.84,372,240.96,48881.02,1077,45.43,22.01,50424.86,1449
102193,2728.01,1129,413.86,17899.13,401,44.75,22.35,20627.13,1530
102596,1735.79,480,276.53,32473.99,691,47.06,21.25,34209.78,1171
103289,954.77,98,102.64,6508.12,141,46.49,21.51,7462.89,239
103432,629.14,45,71.53,18768.37,416,45.22,22.11,19397.51,461
103850,634.05,44,69.40,15647.01,331,47.42,21.09,16281.06,375
104183,1808.80,488,269.79,206154.13,4283,48.14,20.77,207962.93,4771
108468,8907.67,4375,491.15,62655.41,1288,48.68,20.54,71563.09,5663
109759,1001.88,117,116.78,230425.30,4752,48.50,20.62,231427.18,4869
114513,10990.30,5563,506.17,4515.05,99,46.07,21.71,15505.35,5662
114615,1507.13,324,214.98,18408.54,402,45.91,21.78,19915.67,726
115019,645.64,45,69.70,390656.65,8369,46.68,21.42,391302.29,8414
123390,666.53,50,75.01,146323.84,3074,47.62,21.00,146990.37,3124
126466,612.80,45,73.43,14474.36,307,47.30,21.14,15087.17,352
126775,645.29,46,71.29,8384.27,180,46.84,21.35,9029.57,226
126957,595.38,46,77.26,126521.89,2659,47.60,21.01,127117.27,2705
129618,645.18,46,71.30,70151.74,1439,48.78,20.50,70796.92,1485
131059,630.90,46,72.91,15348.12,326,47.22,21.18,15979.02,372
131387,1913.73,498,260.22,24057.54,497,48.50,20.62,25971.27,995
131886,3061.16,1132,369.79,28669.16,596,48.18,20.75,31730.33,1728
132484,612.59,46,75.09,8594.73,182,47.48,21.06,9207.31,228
132668,622.86,42,67.43,8415.50,177,47.82,20.91,9038.36,219
132847,1417.64,177,124.86,48329.06,980,49.37,20.26,49746.70,1157
133830,4097.45,1341,327.28,65532.75,1315,49.87,20.05,69630.19,2656
135148,1102.95,121,109.71,6490.68,130,50.32,19.87,7593.63,251
135280,2045.80,580,283.51,129393.18,2650,48.85,20.47,131438.98,3230
137932,835.11,80,95.80,244603.93,5061,48.34,20.69,245439.04,5141
142995,10856.15,5113,470.98,77490.26,1561,49.67,20.13,88346.41,6674
144559,655.13,46,70.22,8153.44,167,49.12,20.36,8808.57,213
144728,647.68,46,71.02,10282.81,212,48.73,20.52,10930.49,258
144942,2362.03,689,291.70,60117.02,1198,50.22,19.91,62479.05,1887
146142,967.63,103,106.45,295061.55,5996,49.22,20.32,296029.18,6099
152140,12697.10,6048,476.33,77232.70,1553,49.76,20.10,89929.80,7601
153696,652.44,46,70.50,17891.64,367,48.88,20.46,18544.08,413
154065,650.40,46,70.73,5664.33,114,50.13,19.95,6314.73,160
154181,1695.44,366,215.87,7714.75,152,51.09,19.57,9410.18,518
154335,1247.13,187,149.94,5901.76,119,50.01,19.99,7148.89,306
154456,1655.94,404,243.97,8541.94,173,49.66,20.14,10197.89,577
154631,653.89,46,70.35,5562.59,113,49.67,20.13,6216.48,159
154746,1671.19,377,225.59,35522.33,727,48.93,20.44,37193.52,1104
155475,639.32,46,71.95,13156.97,265,49.84,20.07,13796.30,311
155742,2637.57,808,306.34,34048.35,678,50.29,19.88,36685.92,1486
156443,12569.02,9511,756.70,79827.40,2246,35.56,28.12,92396.42,11757
158695,3160.13,2287,723.71,4495.73,129,35.12,28.47,7655.86,2416
158826,668.92,34,50.83,3006.57,86,35.37,28.27,3675.49,120
158914,527.47,22,41.71,2306.72,66,35.49,28.18,2834.19,88
158982,785.22,116,147.73,4893.84,141,34.96,28.61,5679.06,257
159125,10193.82,7226,708.86,18191.51,501,36.38,27.49,28385.32,7727
